Subj	Date	SoundStim	arousal1.RT	arousal1.RESP	valence1.RT	valence1.RESP
10901	20111206	 377.wav	 720	 5	 1550	 5	
10901	20111206	 116.wav	 1781	 5	 751	 5	
10901	20111206	 225.wav	 632	 5	 602	 5	
10901	20111206	 366.wav	 1496	 4	 870	 5	
10901	20111206	 720.wav	 1107	 6	 1529	 5	
10901	20111206	 113.wav	 1285	 4	 875	 5	
10901	20111206	 352.wav	 530	 5	 799	 5	
10901	20111206	 132.wav	 1432	 5	 1472	 5	
10901	20111206	 422.wav	 2466	 5	 1350	 5	
10901	20111206	 255.wav	 540	 5	 1192	 5	
10901	20111206	 714.wav	 674	 5	 834	 5	
10901	20111206	 502.wav	 1115	 5	 513	 5	
10901	20111206	 370.wav	 463	 5	 1272	 5	
10901	20111206	 262.wav	 2805	 6	 2644	 7	
10901	20111206	 sarahordaz.wav	 1636	 3	 2661	 3	
10904	20120103	 106.wav	 2901	 2	 3240	 5	
10904	20120103	 705.wav	 3076	 8	 2952	 5	
10904	20120103	 226.wav	 2538	 4	 1325	 1	
10904	20120103	 244.wav	 2115	 3	 2167	 6	
10904	20120103	 820.wav	 2111	 2	 1347	 2	
10904	20120103	 351.wav	 3544	 4	 1544	 2	
10904	20120103	 698.wav	 2301	 3	 1130	 5	
10904	20120103	 358.wav	 1240	 4	 2567	 5	
10904	20120103	 808.wav	 2201	 4	 1370	 4	
10904	20120103	 311.wav	 1479	 2	 1477	 2	
10904	20120103	 627.wav	 1535	 8	 2235	 5	
10904	20120103	 422.wav	 979	 2	 1637	 7	
10904	20120103	 720.wav	 1877	 3	 1538	 5	
10904	20120103	 368.wav	 2207	 6	 2239	 6	
10904	20120103	 815.wav	 621	 2	 222	 2	
10904	20120103	 105.wav	 451	 4	 2196	 4	
10904	20120103	 424.wav	 224	 2	 250	 9	
10904	20120103	 115.wav	 507	 3	 785	 7	
10904	20120103	 224.wav	 1975	 4	 545	 3	
10904	20120103	 722.wav	 814	 8	 416	 5	
10904	20120103	 366.wav	 364	 2	 393	 1	
10904	20120103	 111.wav	 644	 4	 374	 3	
10904	20120103	 254.wav	 834	 3	 891	 4	
10904	20120103	 220.wav	 548	 3	 361	 2	
10904	20120103	 712.wav	 1369	 1	 427	 7	
10904	20120103	 728.wav	 869	 6	 460	 5	
10904	20120103	 241.wav	 1499	 5	 233	 8	
10904	20120103	 355.wav	 1850	 3	 90	 3	
10904	20120103	 374.wav	 1670	 4	 293	 5	
10904	20120103	 709.wav	 385	 1	 789	 6	
10904	20120103	 255.wav	 2245	 2	 307	 8	
10904	20120103	 277.wav	 10964	 3	 376	 5	
10904	20120103	 732.wav	 3124	 5	 630	 5	
10904	20120103	 420.wav	 2165	 3	 134	 9	
10904	20120103	 275.wav	 370	 1	 294	 9	
10904	20120103	 415.wav	 236	 2	 765	 4	
10904	20120103	 370.wav	 688	 8	 1519	 5	
10904	20120103	 719.wav	 1377	 3	 76	 9	
10904	20120103	 262.wav	 1690	 9	 1520	 4	
10904	20120103	 816.wav	 490	 8	 2161	 4	
10904	20120103	 802.wav	 761	 6	 1365	 6	
10904	20120103	 817.wav	 343	 3	 276	 3	
10904	20120103	 626.wav	 17	 2	 292	 7	
10904	20120103	 sarahordaz.wav	 181	 4	 241	 4	
10904	20120103	 221.wav	 957	 5	 2763	 6	
10904	20120103	 170.wav	 369	 4	 229	 4	
10904	20120103	 711.wav	 89	 2	 297	 8	
10904	20120103	 171.wav	 2789	 5	 3045	 4	
10904	20120103	 723.wav	 1407	 8	 402	 8	
10904	20120103	 378.wav	 1533	 3	 1249	 6	
10904	20120103	 289.wav	 1823	 5	 1423	 9	
10904	20120103	 713.wav	 303	 2	 254	 7	
10904	20120103	 382.wav	 668	 7	 17	 8	
10904	20120103	 373.wav	 46	 5	 81	 8	
